START_LEVELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGET_TYPE,TARGET_TYPE_AS_TEXT,TARGET_LIST_NUMBER,TARGET_ID,TARGET_PART_NUMBER,CHANNEL,PARAMETER_TYPE,PARAMETER_TYPE_AS_TEXT,LEVEL,LEVEL_REFERENCE_TYPE,LEVEL_REFERENCE_TYPE_AS_TEXT,LEVEL_REFERENCE_LIST_NUMBER,LEVEL_REFERENCE_ID,FADE_TIME,DELAY_TIME,MARK_CUE,TRACK_TYPE,EFFECT,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,37,13,Green,255,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,37,14,Blue,25,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,37,50,Indigo,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,38,12,Red,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,38,13,Green,255,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,38,14,Blue,25,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,38,50,Indigo,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,39,12,Red,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,39,13,Green,255,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,39,14,Blue,25,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,39,50,Indigo,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,40,12,Red,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,40,13,Green,255,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,40,14,Blue,25,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,40,50,Indigo,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,41,12,Red,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,41,13,Green,255,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,41,14,Blue,25,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,41,50,Indigo,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,42,12,Red,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,42,13,Green,255,,,,,,,,,,,,,,,,,,,,,,,,,
